ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss,Number
1_sun,sun,1343,SUN,太陽,1
2_moon,moon,1313,MOON,月亮,2
3_star,star,1430,STAR,星,3
4_wind,wind,960,WIND,風,4
5_rain,rain,658,RAIN (PRECIPITATION),雨,5
6_fog,fog,249,FOG,霧,6
7_dew,dew,1977,DEW,露水,7
8_frost,frost,2034,FROST,霜,8
9_snow,snow,784,SNOW,雪,9
10_ice,ice,617,ICE,冰,10
11_hail,hail,609,HAIL,冰雹,11
12_lightning,lightning,1654,LIGHTNING,閃電,12
13_thunder,thunder,1150,THUNDER,雷,13
14_rainbow,rainbow,1733,RAINBOW,虹,14
15_weather,weather,952,WEATHER,天氣,15
16_sunnyday,sunny day,2742,SUNNY DAY,晴天,16
17_cloudyday,cloudy day,2743,CLOUDY DAY,陰天,17
18_seaocean,"sea, ocean",2282,SEA OR OCEAN,海,18
19_lake,lake,624,LAKE,湖,19
20_pond,pond,2035,POND,池塘,20
21_landscape,landscape,2342,LANDSCAPE,風景,21
22_timeseason,"time, season",892,TIME,時候,22
23_thisyear,this year,513,THIS YEAR,今年,23
24_nextyear,next year,515,NEXT YEAR,明年,24
25_theyearafternext,the year after next,2330,YEAR AFTER NEXT YEAR,後年,25
26_lastyear,last year,514,LAST YEAR,去年,26
27_theyearbeforelast,the year before last,2331,YEAR BEFORE LAST YEAR,前年,27
28_day,day,1260,DAY (24 HOURS),日子,28
29_today,today,1283,TODAY,今天,29
30_tomorrow,tomorrow,1329,TOMORROW,明天,30
31_thedayaftertomorrow,the day after tomorrow,1179,DAY AFTER TOMORROW,後天,31
32_threedaysfromnow,three days from now,2332,THREE DAYS FROM NOW,大後天,32
33_yesterday,yesterday,1174,YESTERDAY,昨天,33
34_thedaybeforeyesterday,the day before yesterday,1180,DAY BEFORE YESTERDAY,前天,34
35_threedaysbefore,three days before,,,大前天,35
36_dayopposedtonight,day (opposed to night),1225,DAY (NOT NIGHT),白天,36
37_nightopposedtoday,night (opposed to day),1233,NIGHT,夜間,37
38_morning,morning,1339,MORNING,早晨,38
39_forenoon,forenoon,2775,FORENOON,上午,39
40_noon,noon,12,MIDDAY,中午,40
